,,Min Makespan,Min Makespan,Max Makespan,Max Makespan,Avg Makespan,Avg Makespan,Min Mean Flow Time,Min Mean Flow Time,Max Mean Flow Time,Max Mean Flow Time,Avg Mean Flow Time,Avg Mean Flow Time,Spread,Spread,N Fronts,N Fronts,N Non-dominated solutions,N Non-dominated solutions
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Problem,Candidate,,,,,,,,,,,,,,,,,,
ft06,classical,57.4,0.5163977794943224,59.0,3.1622776601683786,58.08705128205128,1.1090881403349473,46.783333333333324,0.3689323936863143,59.0,3.1622776601683786,47.62976495726495,1.0635410682425268,inf,,9.2,1.8135294011647256,4.8,3.155242550986462
ft06,quantum_base_encoding,59.0,0.0,59.0,0.0,59.0,0.0,51.16666666666666,0.0,59.0,0.0,51.166666666666686,6.6990611570507735e-15,inf,,4.6,0.5163977794943222,33.2,3.8239014399199958
ft06,quantum_position_encoding,57.0,0.0,58.0,0.0,57.739836829836825,0.09388088857799685,46.66666666666666,0.0,58.0,0.0,47.40379564879565,0.2659958509710017,5.039693329345007,0.6662938393249795,11.0,1.3333333333333333,11.1,0.8755950357709129
ft06,quantum_position_encoding_restricted,59.0,0.0,59.0,0.0,59.0,0.0,51.16666666666666,0.0,59.0,0.0,51.16666666666668,1.0592145720521698e-14,inf,,5.6,0.5163977794943221,30.3,3.497618237219913
ft10,classical,1023.5,14.46259543327777,1120.5,43.64821493104463,1062.8616666666667,16.662962643962096,856.7299999999999,14.094999113160672,1120.5,43.64821493104463,882.9369166666668,10.068907510971904,1.0705615622626796,0.3732133602118621,12.6,1.264911064067352,5.2,1.4757295747452437
ft10,quantum_base_encoding,1100.9,1.4491376746189408,1129.6,5.621387729022059,1111.657738095238,1.9753979613470583,983.6700000000001,0.6700746227100803,1129.6,5.621387729022059,991.8085119047621,3.134788336695012,1.627601563822839,0.36974431471813607,12.8,1.0327955589886446,6.9,0.9944289260117531
ft10,quantum_position_encoding,1002.0,10.274023338281637,1106.4,66.21882914498968,1043.992857142857,21.655806365903793,813.3,10.17469628266343,1106.4,66.21882914498968,848.1535476190477,14.369947860635568,1.0941070424410153,0.3135417135435127,11.6,1.1737877907772671,5.7,1.2516655570345725
ft10,quantum_position_encoding_restricted,1100.0,0.0,1129.4,5.481281277625175,1111.2433333333333,3.521295005891778,983.6600000000001,0.09660917830792436,1129.4,5.481281277625175,997.9633333333334,2.4873234164011806,1.147875645898997,0.2819914904634123,12.3,0.6749485577105528,6.0,1.2472191289246468
ft20,classical,1329.6,14.90861048745543,1386.6,52.24132038487883,1351.9292857142857,22.498666348594075,935.5899999999999,18.126650116456847,1386.6,52.24132038487883,964.5243571428571,23.66136265154047,0.6803801018142711,0.3532198437143157,15.5,1.2692955176439848,3.6,1.6465452046971292
ft20,quantum_base_encoding,1508.3,3.020301677353149,1537.6,26.433144177549355,1523.1633333333334,13.362601672458455,1176.53,8.15721221442174,1537.6,26.433144177549355,1186.6695,8.050349737437601,inf,,13.7,0.9486832980505138,3.7,1.4944341180973264
ft20,quantum_position_encoding,1280.3,11.372969904314537,1328.0,33.75730373645915,1301.4330952380953,14.044168818964367,893.5049999999999,10.481450546348798,1328.0,33.75730373645915,914.8397499999999,20.648961644185018,inf,,12.6,1.577621275493231,3.6,1.9550504398153572
ft20,quantum_position_encoding_restricted,1505.6,4.993328882953055,1550.4,21.09870980784266,1523.9516666666666,8.40481361930815,1180.535,5.5488762626118495,1550.4,21.09870980784266,1197.18225,12.288451745602949,0.7332865491384661,0.15022846818796762,13.7,0.9486832980505139,3.9,0.9944289260117533
